Breviolum180235	Peroxisomal biogenesis factor 7
Breviolum80250	cAMP-dependent protein kinase regulator activity
Breviolum115406	-
Breviolum275932	Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2)
Breviolum297071	Functions as actin-binding component of the Arp2 3 complex which is involved in regulation of actin polymerization and together with an activating nucleation-promoting factor (NPF) mediates the formation of branched actin networks. Seems to contact the mother actin filament
Breviolum277352	Purple acid phosphatase
Breviolum25589	Belongs to the cytochrome P450 family
Breviolum11106	Glucosamine-6-phosphate isomerase
Breviolum208986	tRNA (guanine) methyltransferase activity
Breviolum251525	WD and tetratricopeptide repeats protein
Breviolum240038	Belongs to the V-ATPase proteolipid subunit family
Breviolum44671	Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily
Breviolum30375	-
Breviolum209770	Poly A polymerase regulatory subunit
Breviolum58683	Rtf2 RING-finger
Breviolum78982	calcium, potassium:sodium antiporter activity
Breviolum257051	splicing factor
Breviolum182080	Lysine methyltransferase
Breviolum31035	Calcium-dependent protein kinase
Breviolum208605	axoneme assembly
Breviolum277167	molybdate ion transmembrane transporter activity
Breviolum38438	metalloexopeptidase activity
Breviolum136796	Fatty acid desaturase
Breviolum70053	ATPase activity, coupled to transmembrane movement of substances
Breviolum174132	cleavage furrow ingression
Breviolum204675	ABC transporter
Breviolum88796	ATP synthesis coupled proton transport
Breviolum17022	dTDP-glucose 4,6-dehydratase activity
Breviolum31157	Removes the N-terminal methionine from nascent proteins. The N-terminal methionine is often cleaved when the second residue in the primary sequence is small and uncharged (Met-Ala-, Cys, Gly, Pro, Ser, Thr, or Val)
Breviolum59031	2OG-Fe(II) oxygenase superfamily
Breviolum125684	It is involved in the biological process described with metabolic process
Breviolum66507	Belongs to the thioredoxin family
Breviolum222686	FAD linked oxidases, C-terminal domain
Breviolum160742	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA
Breviolum152364	calcium, potassium:sodium antiporter activity
Breviolum57183	synthase
Breviolum103093	Transfers the glycosyl residue from UDP-Glc to the non- reducing end of alpha-1,4-glucan
Breviolum142176	protein disulfide oxidoreductase activity
Breviolum128990	50S ribosomal protein L4
Breviolum103703	Peptide methionine sulfoxide reductase
Breviolum284981	Belongs to the sodium solute symporter (SSF) (TC 2.A.21) family
Breviolum172268	enoyl-CoA hydratase
Breviolum17582	Iron/zinc purple acid phosphatase-like protein C
Breviolum69523	SNF2 family N-terminal domain
Breviolum80302	glycosyl hydrolase family 38 protein
Breviolum237760	phosphatase
Breviolum187648	Phosphatidic acid phosphatase. Source PGD
Breviolum69921	GTP-binding protein
Breviolum239275	NAD-dependent lysine deacetylase and desuccinylase that specifically removes acetyl and succinyl groups on target proteins. Modulates the activities of several proteins which are inactive in their acylated form
Breviolum82532	Belongs to the DEAD box helicase family
Breviolum172378	calcium-dependent cysteine-type endopeptidase activity
Breviolum18855	protein folding
Breviolum60397	GTP-binding protein
Breviolum40022	DHHC palmitoyltransferase
Breviolum87456	Elongation factor 1 gamma, conserved domain
Breviolum92540	transport systems ATPase components
Breviolum210000	glucosidase
Breviolum38339	Putative GTP-ase activating proteins for the small GTPase, ARF
Breviolum65029	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Breviolum12660	Belongs to the peptidase C1 family
Breviolum58605	aspartic-type endopeptidase activity
Breviolum178324	NAD(P)H-binding
Breviolum172070	nucleotidase activity
Breviolum278242	Source PGD
Breviolum69976	Glycosyltransferase sugar-binding region containing DXD motif
Breviolum13615	gtp-binding protein
Breviolum60159	zinc ion transmembrane transporter activity
Breviolum92148	Belongs to the peptidase C2 family
Breviolum208885	axoneme assembly
Breviolum75384	-
Breviolum248188	Catalyzes the reaction that attaches glucose through an O-glycosidic linkage to a conserved serine residue in epidermal growth factor-like repeats. Regulates Notch signaling by glucosylating Notch in the ER, glucosylation is required for the correct folding and cleavage of Notch
Breviolum58296	DEAD-box ATP-dependent RNA helicase
Breviolum64881	transketolase activity
Breviolum211225	cellulose 1,4-beta-cellobiosidase activity
Breviolum274148	pectin acetylesterase activity
Breviolum277879	cell redox homeostasis
Breviolum56715	Glycerol-3-phosphate dehydrogenase
Breviolum67135	Bacterial extracellular solute-binding proteins, family 5 Middle
Breviolum105881	protein polyglycylation
Breviolum237781	Binds to the signal sequence of presecretory protein when they emerge from the ribosomes and transfers them to TRAM (translocating chain-associating membrane protein)
Breviolum274794	cysteine-type peptidase activity
Breviolum26957	E3 ubiquitin-protein ligase
Breviolum60690	Belongs to the pyrimidine 5'-nucleotidase family
Breviolum133404	Helicase associated domain (Ha2) protein
Breviolum107127	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage
Breviolum273046	Protein tyrosine kinase
Breviolum151669	microtubule motor activity
Breviolum206869	ATP-binding Cassette (ABC) Superfamily. Source PGD
Breviolum175529	ATP-dependent Clp protease, proteolytic subunit
Breviolum148396	ubiquitinyl hydrolase activity
Breviolum247380	RNA binding
Breviolum56658	Pleckstrin homology domain.
Breviolum249187	L-ascorbic acid binding
Breviolum76108	protein serine/threonine kinase activity
Breviolum86220	oxidoreductase activity
Breviolum65057	Rab-GTPase-TBC domain
Breviolum212675	DnaJ protein homolog
Breviolum69536	protein serine/threonine kinase activity
Breviolum39038	GMC oxidoreductase
Breviolum40820	ADP-dependent NAD(P)H-hydrate dehydratase activity
Breviolum153383	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Breviolum92664	Esterase PHB depolymerase
Breviolum313081	Dienelactone hydrolase family
Breviolum133593	ATPase activity
Breviolum177697	Belongs to the actin family
Breviolum89897	Lysophosphatidic acid phosphatase type 6
Breviolum64995	phosphoglycerate mutase. Source PGD
Breviolum276072	ubiquitin conjugating enzyme binding
Breviolum175084	sulfuric ester hydrolase activity
Breviolum278593	guanyl-nucleotide exchange factor activity
Breviolum271264	AarF domain-containing protein kinase
Breviolum85221	Sigma factor PP2C-like phosphatases
Breviolum91341	Serine/Threonine protein kinases, catalytic domain
Breviolum177685	helicase activity
Breviolum66184	-
Breviolum58388	Belongs to the universal ribosomal protein uS5 family
Breviolum121083	Glycosyltransferase
Breviolum45025	Protein of unknown function (DUF1117)
Breviolum205969	sulfuric ester hydrolase activity
Breviolum286551	chlorophyll
Breviolum115242	Seryl-tRNA synthetase N-terminal domain
Breviolum274501	Cys/Met metabolism PLP-dependent enzyme
Breviolum43063	protein disulfide oxidoreductase activity
Breviolum89800	Vinylacetyl-CoA Delta-isomerase
Breviolum69913	SNF2 family N-terminal domain
Breviolum241374	Acts as a GTPase-activating protein (GAP) for tubulin in concert with tubulin-specific chaperone C, but does not enhance tubulin heterodimerization
Breviolum206659	Prp18 domain
Breviolum132428	PFAM cytochrome c biogenesis protein, transmembrane region
Breviolum275575	uroporphyrinogen decarboxylase activity
Breviolum56967	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain
Breviolum49281	Cellulase (glycosyl hydrolase family 5)
Breviolum84432	xanthine catabolic process
Breviolum238917	Catalyzes the irreversible transfer of a propylamine group from the amino donor S-adenosylmethioninamine (decarboxy- AdoMet) to putrescine (1,4-diaminobutane) to yield spermidine
Breviolum84545	Aldehyde dehydrogenase family
Breviolum54488	RNA-binding protein mei2 homologue
Breviolum1168	Protein of unknown function (DUF778)
Breviolum249491	low voltage-gated calcium channel activity
Breviolum159884	Belongs to the Ca(2 ) cation antiporter (CaCA) (TC 2.A.19) family
Breviolum62165	NO-associated protein 1, chloroplastic
Breviolum121484	manganese ion binding
Breviolum132190	Interconversion of serine and glycine
Breviolum130318	DEAD (Asp-Glu-Ala-Asp) box polypeptide 41 family protein
Breviolum158514	COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases)
Breviolum274243	Aldo/keto reductase family
Breviolum105027	Carboxylesterase family
Breviolum61430	G protein-coupled receptor 89 isoform 5
Breviolum99863	NADPH-hemoprotein reductase activity
Breviolum276604	Aminotransferase class-V
Breviolum178372	Ring finger protein 11
Breviolum49759	Putative RNA methylase family UPF0020
Breviolum61338	Ribosomal protein S14p/S29e
Breviolum82771	phosphate ion transport
Breviolum121457	Transmembrane protease serine
Breviolum84648	SURF1 family
Breviolum72873	RNA-binding protein 7
Breviolum1039	PFAM beta-lactamase domain protein
Breviolum58362	symporter activity
Breviolum16920	Dual specificity phosphatase, catalytic domain
Breviolum271434	Cyclic nucleotide-monophosphate binding domain
Breviolum88445	triosephosphate isomerase
Breviolum103304	RNA-binding protein mei2 homologue
Breviolum45762	Serine/Threonine protein kinases, catalytic domain
Breviolum21772	Cupin superfamily protein
Breviolum186652	regulation of cardiac conduction
Breviolum213008	Chromosome 2 open reading frame 69
Breviolum208283	translation elongation factor activity
Breviolum240854	Protein phosphatase 2A homologues, catalytic domain.
Breviolum32978	mitochondrial transport
Breviolum72990	FKBP-type peptidyl-prolyl cis-trans isomerase
Breviolum161641	tRNA methyltransferase 11-2 homolog
Breviolum149997	cysteine biosynthetic process from serine
Breviolum241317	Glycine cleavage H-protein
Breviolum78531	tyrosine-tRNA ligase activity
Breviolum113599	Domain Homologous to E6-AP Carboxyl Terminus with
Breviolum45361	CAP_GLY
Breviolum176046	Belongs to the iron ascorbate-dependent oxidoreductase family
Breviolum16539	CGMP-dependent protein kinase
Breviolum32111	Mediates cleavage of dimethlysulfonioproprionate (DMSP) into dimethyl sulfide (DMS) and acrylate. DMS is the principal form by which sulfur is transported from oceans to the atmosphere and is a key component of the ocean sulfur cycle
Breviolum55684	Belongs to the protein kinase superfamily
Breviolum97953	kinase 2
Breviolum55787	Protein of unknown function (DUF1349)
Breviolum115306	Belongs to the cytochrome b5 family
Breviolum131489	acetyl-CoA carboxylase
Breviolum128548	deSI-like protein At4g17486
Breviolum46172	Wd-repeat protein. Source PGD
Breviolum57089	NADP-dependent D-sorbitol-6-phosphate dehydrogenase-like
Breviolum148530	Aldehyde dehydrogenase family
Breviolum48552	adenosine catabolic process
Breviolum94074	Alcohol dehydrogenase GroES-like domain
Breviolum91037	NIMA (never in mitosis gene a)-related kinase 1
Breviolum87105	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
Breviolum308012	DnaJ molecular chaperone homology domain
Breviolum243510	Semialdehyde dehydrogenase, NAD binding domain
Breviolum205357	serine threonine-protein kinase prp4
Breviolum172273	Taurine catabolism dioxygenase TauD, TfdA family
Breviolum103688	phosphate ion transport
Breviolum186183	Ribosomal protein L14p/L23e
Breviolum43678	oxidoreductase activity
Breviolum20906	Carboxyvinyl-carboxyphosphonate phosphorylmutase
Breviolum280142	-
Breviolum179868	Exostosin family
Breviolum79385	protein-cysteine S-acyltransferase activity
Breviolum79207	L-malate dehydrogenase activity
Breviolum53109	Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family
Breviolum278097	ATPase activity
Breviolum61892	Prismane/CO dehydrogenase family
Breviolum57359	Nucleotide-sugar transporter
Breviolum113911	Belongs to the alkaline phosphatase family
Breviolum106070	protein deglutathionylation
Breviolum58203	methyltransferase
Breviolum208653	SET domain-containing protein
Breviolum83248	PFAM AAA ATPase central domain protein
Breviolum46615	-
Breviolum42909	Calcium-dependent protein kinase
Breviolum22026	protein).. Source PGD
Breviolum177270	MFS/sugar transport protein
Breviolum242509	tRNA dihydrouridine synthase activity
Breviolum56707	molecular chaperone
Breviolum89392	Belongs to the mitochondrial carrier (TC 2.A.29) family
Breviolum27956	N-methylnicotinate transmembrane transporter activity
Breviolum81535	-
Breviolum75800	XRN 5'-3' exonuclease N-terminus
Breviolum175333	FIZZY-related
Breviolum211512	Component of the cap-binding complex (CBC), which binds co-transcriptionally to the 5' cap of pre-mRNAs and is involved in various processes such as pre-mRNA splicing and RNA-mediated gene silencing (RNAi). The CBC complex is involved in miRNA-mediated RNA interference and is required for primary microRNAs (miRNAs) processing. In the CBC complex, ncbp-2 recognizes and binds capped RNAs (m7GpppG-capped RNA) but requires ncbp-1 to stabilize the movement of its N-terminal loop and lock the CBC into a high affinity cap-binding state with the cap structure
Breviolum8548	-
Breviolum82709	calcium-dependent cysteine-type endopeptidase activity
Breviolum92931	xylan 1,4-beta-xylosidase activity
